61
30
0	6	2	9	5	0	5	5	0	4	7	10	7	0	9	7	1	0	0	3	8	10	5	7	2	0	0	8	10	8	7	3	5	9	6	4	6	0	0	5	2	0	0	8	3	5	6	9	8	0	8	2	0	8	7	10	0	0	0	1	9
0	9	1	1	6	9	10	9	4	7	1	6	4	9	9	3	7	3	4	4	5	10	8	1	3	8	8	8	5	3	7	1	8	10	2	3	7	1	3	2	5	3	10	8	5	8	8	2	8	6	1	2	6	6	6	9	2	1	8	9	1
1	3	2	3	4
2	3	8	9	28
3	3	6	13	19
4	2	5	50	
5	3	7	12	24
6	3	11	48	61
7	2	26	33	
8	3	14	17	27
9	3	10	15	30
10	1	23		
11	3	21	32	40
12	1	18		
13	1	36		
14	1	57		
15	3	16	22	47
16	1	46		
17	1	25		
18	1	52		
19	2	20	47	
20	2	38	51	
21	2	28	43	
22	3	32	34	37
23	1	53		
24	1	49		
25	2	36	39	
26	2	41	53	
27	1	29		
28	1	39		
29	1	61		
30	1	31		
31	1	35		
32	1	55		
33	2	42	45	
34	1	44		
35	2	43	48	
36	1	51		
37	1	59		
38	1	46		
39	2	54	60	
40	1	46		
41	1	42		
42	1	56		
43	1	56		
44	1	45		
45	2	48	55	
46	1	55		
47	1	53		
48	2	49	51	
49	1	52		
50	1	58		
51	1	57		
52	1	56		
53	1	60		
54	1	57		
55	1	59		
56	1	60		
57	1	59		
58	1	61		
59	0			
60	0			
61	0			
